Symbol,Security,SECfilings,GICSSector,GICSSub-Industry,HeadquartersLocation,Datefirstadded,CIK,Founded
AVB,AvalonBayCommunities,reports,RealEstate,ResidentialREITs,Arlington,Virginia[3],2007-01-10,0000915912,1978
AVY,AveryDennison,reports,Materials,PaperPackaging,Glendale,California,1987-12-31,0000008818,1990
BKR,BakerHughes,reports,Energy,Oil&GasEquipment&Services,Houston,Texas,2017-07-07,0001701605,2017
BALL,Ball,reports,Materials,Metal&GlassContainers,Broomfield,Colorado,1984-10-31,0000009389,1880
BAC,BankofAmerica,reports,Financials,DiversifiedBanks,Charlotte,NorthCarolina,1976-06-30,0000070858,1998(1923/1874)
BBWI,Bath&BodyWorks,reports,ConsumerDiscretionary,SpecialtyStores,Columbus,Ohio,1983-09-30,0000701985,1963
BAX,Baxter,reports,HealthCare,HealthCareEquipment,Deerfield,Illinois,1972-09-30,0000010456,1931
BDX,BectonDickinson,reports,HealthCare,HealthCareEquipment,FranklinLakes,NewJersey,1972-09-30,0000010795,1897
WRB,Berkley,reports,Financials,Property&CasualtyInsurance,Greenwich,Connecticut,2019-12-05,0000011544,1967
BRK.B,BerkshireHathaway,reports,Financials,Multi-SectorHoldings,Omaha,Nebraska,2010-02-16,0001067983,1839
BBY,BestBuy,reports,ConsumerDiscretionary,Computer&ElectronicsRetail,Richfield,Minnesota,1999-06-29,0000764478,1966
BIO,Bio-Rad,reports,HealthCare,LifeSciencesTools&Services,Hercules,California,2020-06-22,0000012208,1952
TECH,Bio-Techne,reports,HealthCare,LifeSciencesTools&Services,Minneapolis,Minnesota,2021-08-30,0000842023,1976
BIIB,Biogen,reports,HealthCare,Biotechnology,Cambridge,Massachusetts,2003-11-13,0000875045,1978
BLK,BlackRock,reports,Financials,AssetManagement&CustodyBanks,NewYorkCity,NewYork,2011-04-04,0001364742,1988
BK,BNYMellon,reports,Financials,AssetManagement&CustodyBanks,NewYorkCity,NewYork,1995-03-31,0001390777,1784
BA,Boeing,reports,Industrials,Aerospace&Defense,Chicago,Illinois,1957-03-04,0000012927,1916
BKNG,BookingHoldings,reports,ConsumerDiscretionary,Internet&DirectMarketingRetail,Norwalk,Connecticut,2009-11-06,0001075531,1996
BWA,BorgWarner,reports,ConsumerDiscretionary,AutoParts&Equipment,AuburnHills,Michigan,2011-12-19,0000908255,1880
BXP,BostonProperties,reports,RealEstate,OfficeREITs,Boston,Massachusetts,2006-04-03,0001037540,1970
BSX,BostonScientific,reports,HealthCare,HealthCareEquipment,Marlborough,Massachusetts[4],1995-02-24,0000885725,1979
BMY,BristolMyersSquibb,reports,HealthCare,HealthCareDistributors,NewYorkCity,NewYork,1957-03-04,0000014272,1989
AVGO,Broadcom,reports,InformationTechnology,Semiconductors,SanJose,California,2014-05-08,0001730168,1961
BR,Broadridge,reports,InformationTechnology,DataProcessing&OutsourcedServices,LakeSuccess,NewYork,2018-06-18,0001383312,1962
BRO,Brown&Brown,reports,Financials,InsuranceBrokers,DaytonaBeach,Florida,2021-09-20,0000079282,1939
BF.B,Brown–Forman,reports,ConsumerStaples,Distillers&Vintners,Louisville,Kentucky,1982-10-31,0000014693,1870
CHRW,C.H.Robinson,reports,Industrials,AirFreight&Logistics,EdenPrairie,Minnesota,2007-03-02,0001043277,1905
CDNS,Cadence,reports,InformationTechnology,ApplicationSoftware,SanJose,California,2017-09-18,0000813672,1988
CZR,CaesarsEntertainment,reports,ConsumerDiscretionary,Casinos&Gaming,Reno,Nevada,2021-03-22,0001590895,1973
CPT,Camden,reports,RealEstate,ResidentialREITs,Houston,Texas,2022-04-04,0000906345,1981
CPB,Campbell's,reports,ConsumerStaples,PackagedFoods&Meats,Camden,NewJersey,1957-03-04,0000016732,1869
COF,CapitalOne,reports,Financials,ConsumerFinance,TysonsCorner,Virginia,1998-07-01,0000927628,1994
CAH,CardinalHealth,reports,HealthCare,HealthCareDistributors,Dublin,Ohio,1997-05-27,0000721371,1971
KMX,CarMax,reports,ConsumerDiscretionary,SpecialtyStores,Richmond,Virginia,2010-06-28,0001170010,1993
